                sˈɑ̃ : s'en, cent, sans, san, cents, sent, sang
                vwˈa : voies, voit, voix, voie, voient, vois
                kˈɛl : quelles, qu'elles, quelle, quels, quel, qu'elle
                 dˈi : dits, die, di, dis, dit, d'y
                  ˈo : eau, haut, eaux, aux, hauts, au
             akɔʁdˈe : accordés, accordé, accordée, accorder, accordées
          kɔ̃sideʁˈe : considéré, considérées, considérée, considérer, considérés
             anɔ̃sˈe : annoncées, annoncer, annoncés, annoncé, annoncée
            pʁɔpozˈe : proposer, proposées, proposé, proposée, proposés
                klˈe : clefs, clé, claes, clés, clef
            ʁezɛʁvˈe : réservée, réservés, réserver, réservé, réservées
                kˈɑ̃ : qu'en, camps, quand, quant, camp
                 nˈe : nez, nés, née, né, n'ai
              lɑ̃sˈe : lancés, lancé, lancées, lancée, lancer
            ɛ̃teɡʁˈe : intégrer, intégrées, intégrée, intégrés, intégré
            ɛ̃vɛstˈi : investi, investie, investies, investit, investis
             aplikˈe : appliqué, appliquées, appliquer, appliquée, appliqués
         ʁəpʁezɑ̃tˈe : représenté, représentées, représentée, représenter, représentés
           ɛ̃teʁɛsˈe : intéressées, intéressé, intéressée, intéressés, intéresser
               pɛjˈe : payée, payées, payé, payés, payer
              fiksˈe : fixée, fixé, fixées, fixer, fixés
                sˈɑ̃ : s'en, cent, sans, san, cents, sent, sang
                vwˈa : voies, voit, voix, voie, voient, vois
                kˈɛl : quelles, qu'elles, quelle, quels, quel, qu'elle
                 dˈi : dits, die, di, dis, dit, d'y
                  ˈo : eau, haut, eaux, aux, hauts, au
             akɔʁdˈe : accordés, accordé, accordée, accorder, accordées
          kɔ̃sideʁˈe : considéré, considérées, considérée, considérer, considérés
             anɔ̃sˈe : annoncées, annoncer, annoncés, annoncé, annoncée
            pʁɔpozˈe : proposer, proposées, proposé, proposée, proposés
                klˈe : clefs, clé, claes, clés, clef
            ʁezɛʁvˈe : réservée, réservés, réserver, réservé, réservées
                kˈɑ̃ : qu'en, camps, quand, quant, camp
                 nˈe : nez, nés, née, né, n'ai
              lɑ̃sˈe : lancés, lancé, lancées, lancée, lancer
            ɛ̃teɡʁˈe : intégrer, intégrées, intégrée, intégrés, intégré
            ɛ̃vɛstˈi : investi, investie, investies, investit, investis
             aplikˈe : appliqué, appliquées, appliquer, appliquée, appliqués
         ʁəpʁezɑ̃tˈe : représenté, représentées, représentée, représenter, représentés
           ɛ̃teʁɛsˈe : intéressées, intéressé, intéressée, intéressés, intéresser
               pɛjˈe : payée, payées, payé, payés, payer
              fiksˈe : fixée, fixé, fixées, fixer, fixés
           ɔʁɡanizˈe : organisée, organiser, organisé, organisées, organisés
            ytilizˈe : utiliser, utilisées, utilisé, utilisés, utilisée
               aʃtˈe : achetée, acheté, achetées, acheter, achetés
                vˈɛʁ : verres, vers, vert, verts, verre
               kʁeˈe : créé, créer, créées, créés, créée
             limitˈe : limitées, limités, limiter, limitée, limité
         pʁivileʒjˈe : privilégiés, privilégiées, privilégié, privilégier, privilégiée
            ʁealizˈe : réaliser, réalisé, réalisées, réalisés, réalisée
              ʃaʁʒˈe : chargée, chargé, chargées, charger, chargés
              plasˈe : placer, placé, placées, placée, placés
             adaptˈe : adaptés, adaptée, adaptées, adapter, adapté
            ɛ̃stalˈe : installée, installer, installées, installés, installé
              sityˈe : situer, situées, situés, située, situé
            devlɔpˈe : développer, développés, développé, développées, développée
          ɑ̃ʁʒistʁˈe : enregistrée, enregistré, enregistrés, enregistrer, enregistrées
            efɛktyˈe : effectués, effectuée, effectuées, effectuer, effectué
                 ˈɛl : elle, ailes, elles, el, l
             etablˈi : établis, établie, établies, établit, établi
             pybliˈe : publiée, publiés, publier, publiées, publié
               kˈɔ̃t : compte, comptes, conte, comptent, comte
               aplˈe : appelée, appelé, appelées, appeler, appelés
               pasˈe : passée, passées, passé, passer, passés
                kˈuʁ : courent, courts, court, cour, cours
              vɛʁsˈe : verser, versé, versés, versée, versées
                ʒˈɑ̃ : gens, jeans, jan, jean, j'en
              fuʁnˈi : fournit, fournies, fournie, fourni, fournis
           pʁezɑ̃tˈe : présenté, présentée, présentées, présenter, présentés
             ɛ̃pozˈe : imposée, imposé, imposer, imposées, imposés
               ʒyʒˈe : jugée, jugées, jugé, juger, jugés
            ɡaʁɑ̃tˈi : garanti, garantie, garantis, garantit, garanties
             avɑ̃sˈe : avancer, avancés, avancé, avancée, avancées
               dɔnˈe : donné, donner, donnée, données, donnés
                bˈaʁ : bar, bars, barres, barre, bart
        tʁadisjɔnˈɛl : traditionnelles, traditionnelle, traditionnels, traditionnel
             ɔmɔlˈɔɡ : homologues, homologue
              pˈɛ̃tʁ : peintres, peintre
               kupˈe : couper, coupé
              ɔfˈɛʁt : offerte, offertes
               leʒˈe : légers, léger
          kɔ̃sɛsjˈɔ̃ : concessions, concession
             pʁɔkˈyʁ : procure, procurent
             bɑ̃kjˈe : banquiers, banquier
            syʁpʁˈiz : surprise, surprises
             inytˈil : inutile, inutiles
               vjˈɛj : vieilles, vieille
            emɔsjˈɔ̃ : émotion, émotions
               ɔkˈyp : occupe, occupent
            ɑ̃vizˈaʒ : envisage, envisagent
          ɛ̃dɛmnitˈe : indemnités, indemnité
              sutnˈy : soutenue, soutenu
           difeʁˈɑ̃s : différences, différence
               batˈo : bateaux, bateau
                mˈyʁ : mur, murs
        tʁɑ̃zaksjˈɔ̃ : transaction, transactions
           dekuvˈɛʁt : découvertes, découverte
               finˈi : fini, finit
            kɔ̃pʁˈɑ̃ : comprend, comprends
               uvˈɛʁ : ouvert, ouverts
               ʁˈɑ̃t : rentes, rente
             libɛlˈe : libellés, libellées
                idˈe : idées, idée
            tʁavajˈe : travaillé, travailler
           fɔ̃ksjˈɔ̃ : fonctions, fonction
              seʒˈuʁ : séjour, séjours
     ʁɛspɔ̃sabilitˈe : responsabilités, responsabilité
             ʁəmˈɔ̃t : remontent, remonte
            satɛlˈit : satellites, satellite
             detajˈe : détaillé, détaillée
          pyblisitˈe : publicités, publicité
            pasifˈik : pacifique, pacific
            ɑ̃sˈɑ̃bl : ensemble, ensembles
             dɑ̃vˈɛʁ : danvers, d'anvers
               pjˈɛʁ : pierre, pierres
       kɔ̃plemɑ̃tˈɛʁ : complémentaire, complémentaires
            ʁəsˈɑ̃bl : ressemblent, ressemble
            otoʁitˈe : autorités, autorité
               twˈal : toiles, toile
           kʁeɑ̃sjˈe : créanciers, créancier
                ɡˈid : guide, guides
              ʒakˈɔb : jacob, jacobs
          mɑ̃talitˈe : mentalité, mentalités
          pɛʁfɔʁmˈɑ̃ : performants, performant
             kapˈabl : capable, capables
                nˈiʃ : niche, niches
           vɔlɔ̃tˈɛʁ : volontaire, volontaires
          ɛɡzɑ̃plˈɛʁ : exemplaire, exemplaires
             ɔpsjˈɔ̃ : option, options
             ʁeklˈam : réclament, réclame
               etˈɑ̃ : etant, étant
            lˈoʁskɛl : lorsqu'elle, lorsqu'elles
                anˈe : année, années
            efɛktˈif : effectif, effectifs
            pʁɔɡʁˈam : programme, programmes
               pʁˈɔʃ : proches, proche
              fjˈabl : fiables, fiable
               ʃˈifʁ : chiffre, chiffres
             kʁeˈɑ̃s : créance, créances
                pˈaʒ : page, pages
                mwˈa : moi, mois
                vˈil : villes, ville
           ɛɡzaminˈe : examiner, examiné
         tɑ̃peʁatˈyʁ : températures, température
               dʁˈɔɡ : drogue, drogues
          dispɔnˈibl : disponible, disponibles
                 ʁˈu : roues, roue
             adʁɛsˈe : adressé, adresser
              mɛzˈɔ̃ : maison, maisons
              mɔdˈɛm : modems, modem
         neɛʁlɑ̃dˈɛz : néerlandaises, néerlandaise
             lɛktˈœʁ : lecteur, lecteurs
          ɛ̃tʁɔdyˈit : introduite, introduites
           ekilibʁˈe : équilibrée, équilibré
              dɔlˈaʁ : dollar, dollars
             fɔʁtˈyn : fortune, fortunes
              almˈɑ̃ : allemands, allemand
          kɔ̃paʁˈabl : comparables, comparable
          ekɔnɔmˈist : économiste, économistes
           pɛʁsɔnˈaʒ : personnages, personnage
               dˈɑ̃s : dense, danse
           kɔ̃tinˈɑ̃ : continent, continents
           dekɔnɔmˈi : d'économie, d'économies
           finɑ̃sjˈe : financier, financiers
          ɛ̃dikatˈœʁ : indicateur, indicateurs
              videˈo : vidéo, vidéos
                ʁˈuʒ : rouges, rouge
            seminˈɛʁ : séminaires, séminaire
             ɛ̃dikˈe : indiquer, indiqué
           ɔptimˈist : optimiste, optimistes
               fˈɛbl : faibles, faible
             sistˈɛm : systems, system
             ʁəkylˈe : reculé, reculer
                dˈɔn : donne, donnent
                 ˈos : hausse, hausses
                kˈil : qu'il, qu'ils
           ɔʁɡanˈism : organismes, organisme
             misjˈɔ̃ : missions, mission
           aksɛsˈibl : accessibles, accessible
           ɔpeʁatˈœʁ : opérateur, opérateurs
              miljˈe : millier, milliers
             sɛʁvˈœʁ : serveurs, serveur
               bijˈɛ : billet, billets
              sjˈɑ̃s : science, sciences
               alˈyʁ : allure, allures
           otomɔbˈil : automobiles, automobile
              dimˈaʒ : d'images, d'image
      myltinasjɔnˈal : multinationale, multinationales
              adˈɔpt : adoptent, adopte
               akʁˈy : accru, accrue
              dəmˈœʁ : demeurent, demeure
                ɡˈɛ̃ : gain, gains
              izɔlˈe : isolé, isolés
                ɡˈɑ̃ : gand, gants
              savˈœʁ : saveur, saveurs
               sɔmˈɛ : sommet, sommets
              bilˈɑ̃ : bilan, bilans
                nˈɔt : notes, note
            emisjˈɔ̃ : émission, émissions
              kasˈɛt : cassettes, cassette
               pʁˈɛn : prennent, prenne
            kɔ̃sˈɛʁn : concernent, concerne
            tɑ̃dˈɑ̃s : tendances, tendance
        ʁealizasjˈɔ̃ : réalisations, réalisation
            debitˈœʁ : débiteur, débiteurs
         pʁɔpɔʁsjˈɔ̃ : proportions, proportion
              ʁasjˈo : ratios, ratio
            pɔpylˈɛʁ : populaire, populaires
                 lˈy : l'ue, lu
        ɛ̃tɛʁmedjˈɛʁ : intermédiaire, intermédiaires
               nuvˈo : nouveau, nouveaux
                fˈɔl : folle, folles
            diʁiʒˈɑ̃ : dirigeants, dirigeant
              mɛsˈaʒ : message, messages
              səɡˈɔ̃ : seconds, second
              kuvˈɛʁ : couverts, couvert
               ɔʁˈɛj : oreilles, oreille
         faʁmasøtˈik : pharmaceutiques, pharmaceutique
               vˈɛʁt : vertes, verte
             pʁesˈiz : précises, précise
             lisˈɑ̃s : licence, licences
           petʁɔljˈe : pétroliers, pétrolier
         pɔsibilitˈe : possibilité, possibilités
                ʁˈiʃ : riche, riches
              enˈɔʁm : énormes, énorme
                  ˈy : eut, eu
                 ˈuz : house
           luvɛʁtˈyʁ : l'ouverture
                yɡˈo : hugo
             savwˈaʁ : savoir
             pʁimˈɛʁ : primaire
            ɡabʁiˈɛl : gabriel
            sˈidəsˈy : ci-dessus
             sybsˈid : subsides
         fɔ̃ksjɔnˈɑ̃ : fonctionnant
            desidˈœʁ : décideurs
              tˈajmz : times
               ʁɔvˈe : rover
           hˈajnœkœn : heineken
            ɛksklˈyʁ : exclure
             atˈɛ̃dʁ : atteindre
            hˈajtˈɛk : high-tech
               lˈajn : line
               ɛzˈɛl : heysel
          ʁepɛʁtwˈaʁ : répertoire
          lɛ̃dɔnezˈi : l'indonésie
          spˈɔnsœʁɪŋ : sponsoring
           paʁvənˈiʁ : parvenir
               pʁwˈa : proie
              bɔnˈœʁ : bonheur
              abɔnˈe : abonnés
            sefɛktˈy : s'effectue
             ʁɛstʁˈa : restera
                lˈaʁ : l'art
             detjˈɛ̃ : détient
              mynˈik : munich
         ɔfisjɛlmˈɑ̃ : officiellement
                 sˈy : su
             sistmˈa : systemat
               ajˈœʁ : ailleurs
                nˈɑ̃ : n'en
              sijˈaʒ : sillage
             aʒɛ̃dˈa : agenda
               flˈøv : fleuve
             ɛ̃dˈɛks : index
                   k : qu'
          tɛknikmˈɑ̃ : techniquement
               iʁˈis : iris
            ʁəvɑ̃dˈy : revendu
              ɡˈɑ̃bl : gamble
             analˈɔɡ : analogue
               pwˈal : poil
             kɔlɔʁˈe : colorés
              debˈyt : débute
        kˈuʁbenefˈis : cours-bénéfice
             stɑ̃lˈɛ : stanley
             favɔʁˈi : favori
               ɡidˈe : guider
             lɛ̃ʒʁˈi : lingerie
              panˈik : panique
            ʒydisjˈø : judicieux
       manipylasjˈɔ̃ : manipulation
       kɔ̃sɛʁvasjˈɔ̃ : conservation
            ɔfɑ̃sˈiv : offensive
               tʁˈim : trim
          peʁifeʁˈik : périphériques
            bʁˈʌðœʁz : brothers
            wˈaθɛlœt : wathelet
             ʁɑ̃dˈɑ̃ : rendant
               disˈi : d'ici
           mɔbistˈaʁ : mobistar
          ɡlavɛʁbˈɛl : glaverbel
               atˈɑ̃ : attend
               atˈil : a-t-il
             minjˈɔ̃ : mignon
              abɛsˈe : abaissé
              leʃˈɛl : l'échelle
             tˈə͡ʊni : tony
            ɑ̃tˈɑ̃dʁ : entendre
              tuʒˈuʁ : toujours
              lɔfˈis : l'office
              sakʁˈe : sacré
               kasˈe : casser
              dekˈɔt : décote
              mˈaʁks : marks
       ɛ̃tɛʁnasjɔnˈo : internationaux
          lɛɡzɛʁsˈis : l'exercice
               dʁˈɛs : dresse
             lˈiːdœʁ : leader
              lɛʁˈœʁ : l'erreur
               hˈɔːl : hall
              ʒapˈɑ̃ : japan
           kɔlɛktˈiv : collective
               wˈɔːl : wall
           kɔ̃svwˈaʁ : concevoir
           lasɑ̃blˈe : l'assemblée
            senatˈœʁ : sénateur
           ʁefleʃˈiʁ : réfléchir
            bɛlfˈɔks : belfox
          animasjˈɔ̃ : animations
              milˈɑ̃ : milan
            pˈyiskil : puisqu'il
              tɑ̃dˈi : tandis
                plˈy : plus
              ʁaʁtˈe : rareté
             pˈøtˈɛl : peut-elle
           tʁavajˈɔ̃ : travaillons
             ɡaʁdˈɑ̃ : gardant
            ɛ̃tɛʁdˈi : interdit
                skˈi : ski
                aˈut : out
            ɛ̃sidˈɑ̃ : incident
              wˈavœʁ : wavre
          inevitˈabl : inévitable
              lafˈɛʁ : l'affaire
              ɑ̃dʁˈe : andré
         dɛ̃pʁɛsjˈɔ̃ : d'impression
    kɔ̃sideʁabləmˈɑ̃ : considérablement
               mˈatʃ : match
               mwˈɛ̃ : moins
              lapˈɛl : l'appel
          tʁɑ̃sfˈɔʁm : transforme
            ɑ̃tʁtˈɑ̃ : entre-temps
                lˈɛl : l'aile
               otˈɑ̃ : autant
               epˈis : épices
        kɔmˈœːʁzbaŋk : commerzbank
               fəʁˈa : fera
             kɔ̃blˈe : combler
               finˈa : fina
               vˈɛst : veste
               bʁˈɛf : bref
             fˈajzœʁ : pfizer
           misteʁjˈø : mystérieux
             wˈɔʁnœʁ : warner
               sotˈe : sauter
               fəʁˈɛ : ferait
              albˈɛ̃ : albin
              wˈɔlɔn : wallonne
          seʁjøzmˈɑ̃ : sérieusement
      ˌɛnd͡ʒɪnˈiːʁɪŋ : engineering
              fʁˈaŋk : frank
         kɔ̃tinyʁˈɔ̃ : continueront
             sɔʁtˈɑ̃ : sortant
           bʁədəʁˈɔd : brederode
              mɑ̃kˈɛ : manquait
              ʁezˈid : réside
         ʁefeʁɑ̃dˈɔm : référendum
               noʁˈa : n'aura
             maʁtˈin : martine
           lekʁivˈɛ̃ : l'écrivain
          lesɑ̃sjˈɛl : l'essentiel
           lekipmˈɑ̃ : l'équipement
                tˈɔp : top
     tʁadisjɔnɛlmˈɑ̃ : traditionnellement
              ekʁˈiʁ : écrire
         pɛʁsɛpsjˈɔ̃ : perception
         televizjˈɔ̃ : télévision
               ʁˈiʁl : real
         pʁevɑ̃sjˈɔ̃ : prévention
          dɛ̃teʁjˈœʁ : d'intérieur
            nɛ̃pˈɔʁt : n'importe
              mitˈik : mythique
               ʒuʁˈa : jouera
            dɔbtnˈiʁ : d'obtenir
             pɛˈibˈa : pays-bas
         dɛ̃flasjˈɔ̃ : d'inflation
             pɛʁmˈɛt : permettent
              tyʁbˈo : turbo
                dˈy- : du
              kɔlˈɑ̃ : collants
             siluˈɛt : silhouette
           pasjɔnˈɑ̃ : passionnant
               vɔlˈɛ : volet
           paʁləmˈɑ̃ : parlement
         njˈuːjɔʁkˈɛ : new-yorkais
        otomatikmˈɑ̃ : automatiquement
           tʁibynˈal : tribunal
              satˈɑ̃ : s'attend
             daʁʒˈɑ̃ : d'argent
              asˈist : assiste
               ɑ̃vˈi : envie
              desˈid : décide
           bjɔlɔʒˈik : biologique
                lˈyk : luc
       ɛ̃kɔ̃tɛstˈabl : incontestable
           ɛ̃fʁaʁˈuʒ : infrarouge
          ʁapʁɔʃmˈɑ̃ : rapprochement
            panɔplˈi : panoplie
           dɔkazjˈɔ̃ : d'occasion
         spekylatˈœʁ : spéculateurs
                klˈo : clos
            tʁibynˈo : tribunaux
          psikɔlɔʒˈi : psychologie
          fʁaʒilitˈe : fragilité
              lekˈut : l'écoute
              kuʁˈœʁ : coureurs
           lymanitˈe : l'humanité
            lɑ̃dmˈɛ̃ : lendemain
              vaʁjˈe : varier
             tʁiplˈe : triplé
          dɛ̃flyˈɑ̃s : d'influence
                lˈos : los
               pʁˈaɡ : prague
              dɛlˈɛz : delhaize
          lelɛksjˈɔ̃ : l'élection
            vɔlɔ̃tˈe : volonté
               eʃuˈe : échoué
              namˈyʁ : namur
              sypˈɛʁ : super
             ɛ̃stˈɑ̃ : instant
         ʁɑ̃plasmˈɑ̃ : remplacement
      dameljɔʁasjˈɔ̃ : d'amélioration
              pʁɛsˈe : pressé
          ɔːθɛntˈiːk : authentique
           deɡalitˈe : d'égalité
           matyʁitˈe : maturité
             ɡɑ̃dwˈa : gandois
           pɔlysjˈɔ̃ : pollution
            fɔʁmylˈe : formuler
           duvɛʁtˈyʁ : d'ouverture
              lɑ̃ʒˈø : l'enjeu
          pʁezidˈɑ̃t : présidente
           lɑ̃sˈɑ̃bl : l'ensemble
       ɛ̃pʁɛsjɔnˈɑ̃t : impressionnante
           atʁaktˈif : attractif
       ʁəpʁɔdyksjˈɔ̃ : reproduction
             aʒutˈɑ̃ : ajoutant
           seʁenitˈe : sérénité
            elaʁʒˈiʁ : élargir
   ɛ̃kɔ̃tɛstabləmˈɑ̃ : incontestablement
                sˈɔn : sonne
      lɛ̃plɑ̃tasjˈɔ̃ : l'implantation
         ʁezɔlysjˈɔ̃ : résolution
        tɛknˈɔlœd͡ʒi : technology
             ɛksˈɛpt : except
              suʁˈiʁ : sourire
               mˈɛtʁ : mettre
         vˈispʁəmjˈe : vice-premier
               pˈɔʁk : porc
             emanˈɑ̃ : émanant
           milimˈɛtʁ : mm
              nwajˈo : noyau
             pwanjˈe : poignée
             mɔ̃tˈaɲ : montagne
         damstɛʁdˈam : d'amsterdam
               fˈœ̃d : fund
           leleɡˈɑ̃s : l'élégance
      lalimɑ̃tasjˈɔ̃ : l'alimentation
              savˈɔ̃ : savons
             ʁəljˈɛf : relief
            tjˈuːbɪz : tubize
             tɛʁˈibl : terrible
             iksvjˈi : xviie
           ʁɛzɔnmˈɑ̃ : raisonnement
             lineˈɛʁ : linéaire
             vaʁjˈɑ̃ : variant
              kɔ̃ɡˈo : congo
                ɡˈaʒ : gage
              ʁutˈin : routine
                avˈa : havas
            ʁeɛlmˈɑ̃ : réellement
          ʁedaksjˈɔ̃ : rédaction
              fuʁnˈo : fourneaux
           syksɛsˈiv : successives
           kɔ̃fˈɔ̃dʁ : confondre
             pɔlɔnˈɛ : polonais
             kˈɛnœdi : kennedy
              davˈid : david
              aksˈɑ̃ : accents
         dalyminjˈɔm : d'aluminium
          pɛʁtinˈɑ̃s : pertinence
               telˈe : télé
               epˈol : épaules
                vjˈa : via
           lemɔsjˈɔ̃ : l'émotion
            deʁulʁˈa : déroulera
      planifikasjˈɔ̃ : planification
          dɛ̃vɑ̃tˈɛʁ : d'inventaire
             afiljˈe : affiliés
             eʃɑ̃ʒˈe : échanger
                 jˈe : ier
         djaɡnɔstˈik : diagnostic
                mˈak : mac
            pɔʁtəʁˈa : portera
              ʃofˈaʒ : chauffage
             kɔ̃tnˈy : contenu
             detənˈy : détenues
              ʁətʁˈɛ : retrait
              eduˈaʁ : edouard
              lɛʁnˈu : lernout
             ʃɔkɔlˈa : chocolat
             kuʁtˈaʒ : courtage
              lˈɔʁdʁ : l'ordre
             ʁezˈist : résiste
              ɡlwˈaʁ : gloire
       mətʁɔpɔlitˈɑ̃ : metropolitan
             ɛ̃vˈɛst : invest
           kɔ̃pʁɔmˈi : compromis
          enɛʁʒetˈik : énergétique
               dˈøtʃ : deutsche
              ʃapˈɛl : chapelle
              fʁɛnˈe : freiner
          faʁmasjˈɛ̃ : pharmacien
              kutˈym : coutume
               ʒetˈɛ : j'étais
            dɛsˈɑ̃dʁ : descendre
         dedykasjˈɔ̃ : d'éducation
           siʁkylˈɛʁ : circulaire
          dasɑ̃blˈaʒ : d'assemblage
        lɛɡzekysjˈɔ̃ : l'exécution
              eʃeˈɑ̃ : échéant
             paʁtˈiʁ : partir
              ʁənuˈe : renouer
             vlaˈams : vlaamse
              faktˈo : facto
             leʃˈɑ̃ʒ : l'échange
          pʁɔɡʁɛsˈif : progressif
             valeʁˈi : valérie
            səkœ̃dˈo : secundo
             etʁwˈat : étroite
            aɡʁɛsˈif : agressif
               ɛmʁˈɛ : aimerait
          sˌedˈeʁˈɔm : cd-rom
             bɔstˈɔ̃ : boston
                kʁˈø : creux
            delikˈat : délicate
          skɑ̃dinˈav : scandinaves
                 kˈe : quai
             sitʁˈɔ̃ : citron
             syfiʁˈɛ : suffirait
              ynjˈɔ̃ : union
             wˈɔltœʁ : walter
           nˈɛtwœːʁk : network
         pʁesˈiztˈil : précise-t-il
             pikasˈo : picasso
              navˈɔ̃ : n'avons
             batəʁˈi : batteries
             bʁezˈil : brésil
            kˈʌmpœni : company
            pʁeɔkˈyp : préoccupe
             diskˈuʁ : discours
            deʁulˈɑ̃ : déroulent
